"org_uuid","Predicted Funding","Total Funding Received","Number of Founders","Number of organisations founded previously by current Founders","Funding received from organisations founded previously by current Founders","Number of executive jobs held by Founders previously","Funding received from previously held jobs by current Founders","Number of Funding Rounds from previously held jobs by current Founders","Number of Bachelors","University Rankings from Founders' degrees","Number of previous funding rounds","Age at Funding - Series Unknown","Funding Raised (USD) - Series Unknown","Age at Funding - Seed","Funding Raised (USD) - Seed","Number of Investors - Seed","Age at Funding - Series A","Funding Raised (USD) - Series A","Number of Investors - Series A","Funding Raised (USD) - Debt Financing","Age at Funding - Series B","Funding Raised (USD) - Series B","Average organization age at events","Organization Age","name"
"16331c4c-52dc-728b-4356-da63948b6348",1414530.1791666667,1296876.0,3,0.6666666666666666,0.0,7.0,566666.6666666665,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,26.0,1296876.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.51422000451755,58.08743506026818,"Deep BI, Inc."
"1634ca44-c1f9-786a-924a-c03d3dbec692",12159365.940833332,12335650.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,57.66666666666666,9699530.0,32.5,2385240.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,117.2590812953038,132.2737633216288,"Starcount"
"163680b9-7f2d-4fbd-9d33-bde61b7020d9",283126.8358333333,500000.0,2,0.5,0.0,3.0,112500000.0,0.5,0.0,0.0,1.0,0.0,0.0,59.0,500000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,88.28107353333743,"Falcon Pursuit"
"163b2ab0-556c-4511-90e3-34fd69887d0e",1980047.850833333,1840000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840000.0,0.0,0.0,50.6361176044577,96.26481036571592,"Cornerstone Capital"
"1642cc43-7a58-a7ae-e77e-579159b31641",283126.8358333333,2350691.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,21.0,10144980.542567126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,84.27277767510627,"Listo"
"164314c8-10f7-4938-9f35-2ee6907a01da",7635224.567499999,7850000.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,7850000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,36.27179202858376,"Overjet"
"1649943a-4c5c-5ced-8271-a1a50034010f",3676600.8658333328,3840934.0,1,1.0,50000000.0,5.0,425000000.0,4.0,0.0,0.0,2.0,0.0,0.0,83.0,840934.0,2.4241519674355496,0.0,0.0,0.0,0.0,0.0,0.0,153.4980184398037,192.2667816587609,"Revegy"
"165351e6-1357-91a5-1707-cda17e902926",2545565.5225,2741492.0,2,0.5,1.0,4.0,1370747.5,3.5,0.0,1.0,7.0,0.0,0.0,29.8,2060950.06965146,2.4241519674355496,0.0,0.0,0.0,0.0,0.0,0.0,87.55826608349247,120.28173063101912,"PastBook"
"16567ad1-7717-5c6c-7c0f-bb2ec84ef56e",20076613.344166663,20000000.0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1326531.069651459,2.0,48.0,9279620.173465185,1.0,0.0,0.0,0.0,50.6361176044577,96.26481036571592,"Inloco"
"16574e9f-a004-e6f9-fc8c-fcb20b65f45c",1414530.1791666667,1200000.0,2,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0,1200000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,81.02014415080392,"Prolific"
"166175cc-af72-427a-aa42-fecf2edd91de",4242118.5375,4510000.0,2,0.5,0.0,6.0,167489508.5,16.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.920758126450245,60.28871229388694,"Intermix.io"
"16699f9a-d0ef-058c-1a25-212193256cd8",12159365.940833332,12428245.0,3,0.0,0.0,5.0,3333333.333333333,0.333333333333333,1.0,1.0,3.0,46.0,2162843.0,23.0,1326531.069651459,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,96.26481036571592,"Parrot Analytics"
"166d97f8-f0dd-b775-1a3c-50e5a70e8c1c",6504189.224166666,8125000.0,1,2.0,500000.0,4.0,1900000.0,3.0,0.0,1.0,6.0,0.0,0.0,38.0,4250000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,72.28074498449661,"ForwardLane"
"166e1ac0-a0a0-435e-9bec-3096355cfce6",4242118.5375,1500000.0,1,1.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,29.0,5479593.208954378,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,60.28871229388694,"Orbo.ai"
